MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating,link
Imaikkaa Nodigal,Action,7.4,R. Ajay Gnanamuthu,Nayanthara,4206,2018.0,8.0,7.0,7.466666667,https://www.imdb.com/find/?q=ImaikkaaNodigal
Lakshmi,Drama,6.9,A.L. Vijay,Ditya Bhande,476,2018.0,5.0,8.0,6.633333333,https://www.imdb.com/find/?q=Lakshmi
Odu Raja Odu,Comedy,7.1,Jathin Sanker Raj,Nishanth Ravindaran,86,2018.0,9.0,9.0,8.366666667,https://www.imdb.com/find/?q=OduRajaOdu
Kolamavu Kokila,Comedy,7.3,Nelson,Nayanthara,1976,2018.0,6.0,8.0,7.1,https://www.imdb.com/find/?q=KolamavuKokila
Pyaar Prema Kaadhal,Romance,6.6,Elan,Harish Kalyan,872,2018.0,5.0,7.0,6.2,https://www.imdb.com/find/?q=PyaarPremaKaadhal
Vishwaroopam 2,Action,5.9,Vishwaroopam,Kamal Haasan,2076,2018.0,4.0,8.0,5.966666667,https://www.imdb.com/find/?q=Vishwaroopam2
Ghajinikanth,Comedy,5.3,Santhosh P. Jayakumar,Arya,437,2018.0,1.0,9.0,5.1,https://www.imdb.com/find/?q=Ghajinikanth
Junga,Action,5.2,Gokul,Vijay Sethupathi,774,2018.0,2.0,8.0,5.066666667,https://www.imdb.com/find/?q=Junga
Mohini,Horror,3.3,R. Madhesh,Trisha Krishnan,41485,2018.0,3.0,7.0,4.433333333,https://www.imdb.com/find/?q=Mohini
Chinababu,Action,7.0,Pandiraj,Karthi,1896,2018.0,6.0,8.0,7.0,https://www.imdb.com/find/?q=Chinababu
Tamizh Padam 2.0,Comedy,6.5,C.S. Amudhan,Jiiva,1286,2018.0,9.0,9.0,8.166666667,https://www.imdb.com/find/?q=TamizhPadam2.0
Goli Soda 2,Drama,7.3,Vijay Milton,Samuthirakani,642,2018.0,8.0,8.0,7.766666667,https://www.imdb.com/find/?q=GoliSoda2
Iravukku Aayiram Kangal,Action,7.3,Mu. Maran,Abhinayashree,978,2018.0,7.0,9.0,7.766666667,https://www.imdb.com/find/?q=IravukkuAayiramKangal
Irumbu Thirai,Action,7.7,P.S. Mithran,Vishal,3373,2018.0,8.0,8.0,7.9,https://www.imdb.com/find/?q=IrumbuThirai
Mahanati,Biography,8.5,Savitri,Nag Ashwin,8703,2018.0,5.0,9.0,7.5,https://www.imdb.com/find/?q=Mahanati
